scene_id,prompt_id,prompt_type,lifecycle_stage,target_model,asset_ref,article3_flag,notes
SC0014,SC0014__still-01__v01,still_generation,deprecated,chatgpt_image_best_available,pending_generation,,anchored-animate v06: shot still for SHOT_SC0014_01_A
SC0014,SC0014__still-02__v01,still_generation,deprecated,chatgpt_image_best_available,pending_generation,,anchored-animate v06: shot still for SHOT_SC0014_01_B
SC0014,SC0014__still-03__v01,still_generation,deprecated,chatgpt_image_best_available,pending_generation,,anchored-animate v06: shot still for SHOT_SC0014_01_C
SC0014,SC0014__still-04__v01,still_generation,deprecated,chatgpt_image_best_available,pending_generation,,anchored-animate v06: shot still for SHOT_SC0014_02_A
SC0014,SC0014__still-05__v01,still_generation,deprecated,chatgpt_image_best_available,pending_generation,,anchored-animate v06: shot still for SHOT_SC0014_02_B
SC0014,SC0014__still-06__v01,still_generation,deprecated,chatgpt_image_best_available,pending_generation,,anchored-animate v06: shot still for SHOT_SC0014_02_C
SC0014,SC0014__still-07__v01,still_generation,deprecated,chatgpt_image_best_available,pending_generation,,anchored-animate v06: shot still for SHOT_SC0014_03_A
SC0014,SC0014__still-08__v01,still_generation,deprecated,chatgpt_image_best_available,pending_generation,,anchored-animate v06: shot still for SHOT_SC0014_03_B
SC0014,SC0014__still-09__v01,still_generation,deprecated,chatgpt_image_best_available,pending_generation,,anchored-animate v06: shot still for SHOT_SC0014_03_C
SC0014,SC0014__still-10__v01,still_generation,deprecated,chatgpt_image_best_available,pending_generation,,anchored-animate v06: shot still for SHOT_SC0014_04_A
SC0014,SC0014__still-11__v01,still_generation,deprecated,chatgpt_image_best_available,pending_generation,,anchored-animate v06: shot still for SHOT_SC0014_04_B
SC0014,SC0014__still-12__v01,still_generation,deprecated,chatgpt_image_best_available,pending_generation,,anchored-animate v06: shot still for SHOT_SC0014_04_C
SC0014,SC0014__still-13__v01,still_generation,deprecated,chatgpt_image_best_available,pending_generation,,anchored-animate v06: shot still for SHOT_SC0014_05_A
SC0014,SC0014__still-14__v01,still_generation,deprecated,chatgpt_image_best_available,pending_generation,,anchored-animate v06: shot still for SHOT_SC0014_05_B
SC0014,SC0014__still-15__v01,still_generation,deprecated,chatgpt_image_best_available,pending_generation,,anchored-animate v06: shot still for SHOT_SC0014_05_C
SC0014,SC0014__still-16__v01,still_generation,deprecated,chatgpt_image_best_available,pending_generation,,anchored-animate v06: shot still for SHOT_SC0014_06_A
SC0014,SC0014__still-17__v01,still_generation,deprecated,chatgpt_image_best_available,pending_generation,,anchored-animate v06: shot still for SHOT_SC0014_06_B
SC0014,SC0014__still-18__v01,still_generation,deprecated,chatgpt_image_best_available,pending_generation,,anchored-animate v06: shot still for SHOT_SC0014_06_C
SC0014,SC0014__still-19__v01,still_generation,deprecated,chatgpt_image_best_available,pending_generation,,anchored-animate v06: shot still for SHOT_SC0014_07_A
SC0014,SC0014__still-20__v01,still_generation,deprecated,chatgpt_image_best_available,pending_generation,,anchored-animate v06: shot still for SHOT_SC0014_08_A
SC0014,SC0014__still-21__v01,still_generation,deprecated,chatgpt_image_best_available,pending_generation,,anchored-animate v06: shot still for SHOT_SC0014_08_B
SC0014,SC0014__still-22__v01,still_generation,deprecated,chatgpt_image_best_available,pending_generation,,anchored-animate v06: shot still for SHOT_SC0014_08_C
SC0014,SC0014__contact-clip-01__v01,shot_design,deprecated,chatgpt_image_best_available,pending_generation,,anchored-animate v06: contact sheet for CLIP_SC0014_01
SC0014,SC0014__contact-clip-02__v01,shot_design,deprecated,chatgpt_image_best_available,pending_generation,,anchored-animate v06: contact sheet for CLIP_SC0014_02
SC0014,SC0014__contact-clip-03__v01,shot_design,deprecated,chatgpt_image_best_available,pending_generation,,anchored-animate v06: contact sheet for CLIP_SC0014_03
SC0014,SC0014__contact-clip-04__v01,shot_design,deprecated,chatgpt_image_best_available,pending_generation,,anchored-animate v06: contact sheet for CLIP_SC0014_04
SC0014,SC0014__contact-clip-05__v01,shot_design,deprecated,chatgpt_image_best_available,pending_generation,,anchored-animate v06: contact sheet for CLIP_SC0014_05
SC0014,SC0014__contact-clip-06__v01,shot_design,deprecated,chatgpt_image_best_available,pending_generation,,anchored-animate v06: contact sheet for CLIP_SC0014_06
SC0014,SC0014__contact-clip-07__v01,shot_design,deprecated,chatgpt_image_best_available,pending_generation,,anchored-animate v06: contact sheet for CLIP_SC0014_07
SC0014,SC0014__contact-clip-08__v01,shot_design,deprecated,chatgpt_image_best_available,pending_generation,,anchored-animate v06: contact sheet for CLIP_SC0014_08
SC0014,SC0014__omni-kling-omni-clip-clip-sc0014-01-safe__v01,omni_instruction,deprecated,kling_omni,pending_generation,,anchored-animate v06: anchored_i2v Kling prompt for CLIP_SC0014_01
SC0014,SC0014__omni-kling-omni-clip-clip-sc0014-02-safe__v01,omni_instruction,deprecated,kling_omni,pending_generation,,anchored-animate v06: anchored_i2v Kling prompt for CLIP_SC0014_02
SC0014,SC0014__omni-kling-omni-clip-clip-sc0014-03-safe__v01,omni_instruction,deprecated,kling_omni,pending_generation,,anchored-animate v06: anchored_i2v Kling prompt for CLIP_SC0014_03
SC0014,SC0014__omni-kling-omni-clip-clip-sc0014-04-safe__v01,omni_instruction,deprecated,kling_omni,pending_generation,,anchored-animate v06: anchored_i2v Kling prompt for CLIP_SC0014_04
SC0014,SC0014__omni-kling-omni-clip-clip-sc0014-05-safe__v01,omni_instruction,deprecated,kling_omni,pending_generation,,anchored-animate v06: anchored_i2v Kling prompt for CLIP_SC0014_05
