Title,Asset Type,Phase,Batch,Scene ID,Character ID,Location ID,Tool,Lifecycle,Review Status,Priority,Article 3 Evidence,Continuity Risk,Motion Ready,Target Freeze,Milestone,Labels,Assignee,Due Date,Complexity,Notes
"[P2][Character Pack] Create Nadia reference pack (C01)","Character Pack","Phase 2","Batch 01","","C01","","Midjourney","Backlog","Pending","P0","Candidate","Medium","No","visual-z1p2-batch1-r1","P2-Batch-01 Reference Packs","phase-2,asset-character,review-needed,article3-evidence","","2026-04-24","5","Primary protagonist identity lock"
"[P2][Character Pack] Create Roman reference pack (C02)","Character Pack","Phase 2","Batch 01","","C02","","Midjourney","Backlog","Pending","P0","Candidate","Medium","No","visual-z1p2-batch1-r1","P2-Batch-01 Reference Packs","phase-2,asset-character,review-needed,article3-evidence","","2026-04-24","4","Primary antagonist identity lock"
"[P2][Character Pack] Create Birta reference pack (C03)","Character Pack","Phase 2","Batch 01","","C03","","Midjourney","Backlog","Pending","P1","Candidate","Low","No","visual-z1p2-batch1-r1","P2-Batch-01 Reference Packs","phase-2,asset-character,review-needed,article3-evidence","","2026-04-25","3","Dialogue support character"
"[P2][Character Pack] Create Dimitri reference pack (C04)","Character Pack","Phase 2","Batch 01","","C04","","Midjourney","Backlog","Pending","P1","No","Low","No","visual-z1p2-batch1-r1","P2-Batch-01 Reference Packs","phase-2,asset-character,review-needed","","2026-04-25","3","Operational antagonist support"
"[P2][Character Pack] Create Marcus reference pack (C05)","Character Pack","Phase 2","Batch 01","","C05","","Midjourney","Backlog","Pending","P1","Candidate","Medium","No","visual-z1p2-batch1-r1","P2-Batch-01 Reference Packs","phase-2,asset-character,review-needed,article3-evidence","","2026-04-25","3","Emotional contrast / intimacy anchor"
"[P2][Location Sheet] Create Vale residence reference sheet (LOC001)","Location Sheet","Phase 2","Batch 01","","","LOC001","Nano Banana Pro","Backlog","Pending","P0","Candidate","High","No","visual-z1p2-batch1-r1","P2-Batch-01 Reference Packs","phase-2,asset-location,continuity-risk,review-needed,article3-evidence","","2026-04-26","5","Primary recurring domestic environment"
"[P2][Location Sheet] Create Nadia study reference sheet (LOC002)","Location Sheet","Phase 2","Batch 01","","","LOC002","Nano Banana Pro","Backlog","Pending","P1","Candidate","Medium","No","visual-z1p2-batch1-r1","P2-Batch-01 Reference Packs","phase-2,asset-location,review-needed,article3-evidence","","2026-04-26","4","Surveillance discovery environment"
"[P2][Location Sheet] Create trading floor reference sheet (LOC003)","Location Sheet","Phase 2","Batch 01","","","LOC003","Nano Banana Pro","Backlog","Pending","P1","No","Medium","No","visual-z1p2-batch1-r1","P2-Batch-01 Reference Packs","phase-2,asset-location,review-needed","","2026-04-27","4","Operational macro-space"
"[P2][Location Sheet] Create hidden room reference sheet (LOC004)","Location Sheet","Phase 2","Batch 01","","","LOC004","Nano Banana Pro","Backlog","Pending","P1","Candidate","Medium","No","visual-z1p2-batch1-r1","P2-Batch-01 Reference Packs","phase-2,asset-location,review-needed,article3-evidence","","2026-04-27","4","Marcus/Nadia intimacy and warning space"
"[P2][Prop Pack] Create tilted photo frame prop pack (PROP003)","Prop Pack","Phase 2","Batch 01","SC0001","","","Mixed","Backlog","Pending","P0","Candidate","High","No","visual-z1p2-batch1-r1","P2-Batch-01 Reference Packs","phase-2,asset-prop,continuity-risk,review-needed,article3-evidence","","2026-04-28","3","Intrusion cue and detail insert"
"[P2][Prop Pack] Create burner phone prop pack","Prop Pack","Phase 2","Batch 01","","","","Mixed","Backlog","Pending","P1","No","Medium","No","visual-z1p2-batch1-r1","P2-Batch-01 Reference Packs","phase-2,asset-prop,review-needed","","2026-04-28","3","Operational prop continuity"
"[P2][Prop Pack] Create Roman watch prop pack","Prop Pack","Phase 2","Batch 01","","","","Mixed","Backlog","Pending","P1","No","Medium","No","visual-z1p2-batch1-r1","P2-Batch-01 Reference Packs","phase-2,asset-prop,review-needed","","2026-04-28","2","Status and continuity prop"
